year,season,Date,n_windows,p_cells_w_windows,decision,NOPS_PL,county,n_spatial_cells,bd_sens_min,sens_5percent,sens_10percent,sens_20percent,sens_25percent
2018,fall,2018-11-04,14,0.0107444359171144,B,2,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-05,4,0.00306983883346124,B,2,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-06,1,0.000767459708365311,B,2,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-07,1,0.000767459708365311,B,2,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-08,0,0,B,2,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-09,0,0,B,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-10,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-11,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-12,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-13,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-14,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-15,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-16,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-17,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-18,2,0.00153491941673062,NB,4,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-19,7,0.00537221795855718,NB,4,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-20,5,0.00383729854182655,B,4,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-21,5,0.00383729854182655,B,4,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-22,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-23,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-24,9,0.0069071373752878,B,1,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-25,89,0.0683039140445127,B,1,Plumas,1303,1,1,0,0,0
2018,fall,2018-11-26,29,0.022256331542594,B,1,Plumas,1303,1,0,0,0,0
2018,fall,2018-11-27,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-28,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-29,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,fall,2018-11-30,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-01,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-02,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-03,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-04,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-05,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-06,128,0.0982348426707598,B,1,Plumas,1303,1,1,0,0,0
2018,spring,2018-03-07,164,0.125863392171911,B,1,Plumas,1303,1,1,1,0,0
2018,spring,2018-03-08,26,0.0199539524174981,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-03-09,99,0.0759785111281658,B,1,Plumas,1303,1,1,0,0,0
2018,spring,2018-03-10,9,0.0069071373752878,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-03-11,344,0.264006139677667,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-03-12,504,0.386799693016117,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-03-13,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-14,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-15,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-16,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-17,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-18,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-19,93,0.0713737528779739,B,1,Plumas,1303,1,1,0,0,0
2018,spring,2018-03-20,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-21,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-22,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-23,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-24,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-25,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-03-26,32,0.0245587106676899,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-03-27,449,0.344589409056025,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-03-28,886,0.679969301611665,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-03-29,362,0.277820414428243,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-03-30,119,0.091327705295472,B,1,Plumas,1303,1,1,0,0,0
2018,spring,2018-03-31,35,0.0268610897927859,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-01,121,0.0928626247122026,B,1,Plumas,1303,1,1,0,0,0
2018,spring,2018-04-02,187,0.143514965464313,B,1,Plumas,1303,1,1,1,0,0
2018,spring,2018-04-03,14,0.0107444359171144,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-04,8,0.00613967766692249,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-05,138,0.105909439754413,B,1,Plumas,1303,1,1,1,0,0
2018,spring,2018-04-06,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-04-07,10,0.00767459708365311,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-08,274,0.210283960092095,B,1,Plumas,1303,1,1,1,1,0
2018,spring,2018-04-09,901,0.691481197237145,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-10,373,0.286262471220261,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-11,10,0.00767459708365311,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-12,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-04-13,731,0.561013046815042,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-14,746,0.572524942440522,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-15,53,0.0406753645433615,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-16,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-04-17,28,0.0214888718342287,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-18,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-04-19,169,0.129700690713738,B,1,Plumas,1303,1,1,1,0,0
2018,spring,2018-04-20,973,0.746738296239447,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-21,918,0.704528012279355,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-22,461,0.353798925556408,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-04-23,61,0.046815042210284,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-24,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-04-25,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-04-26,7,0.00537221795855718,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-27,45,0.034535686876439,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-28,16,0.012279355333845,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-29,6,0.00460475825019187,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-04-30,311,0.238679969301612,B,1,Plumas,1303,1,1,1,1,0
2018,spring,2018-05-01,866,0.664620107444359,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-02,773,0.593246354566385,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-03,752,0.577129700690714,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-04,167,0.128165771297007,B,1,Plumas,1303,1,1,1,0,0
2018,spring,2018-05-05,10,0.00767459708365311,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-05-06,3,0.00230237912509593,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-05-07,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-05-08,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-05-09,23,0.0176515732924021,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-05-10,15,0.0115118956254797,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-05-11,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,spring,2018-05-12,25,0.0191864927091328,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-05-13,391,0.300076745970837,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-14,295,0.226400613967767,B,1,Plumas,1303,1,1,1,1,0
2018,spring,2018-05-15,984,0.755180353031466,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-16,143,0.109746738296239,B,1,Plumas,1303,1,1,1,0,0
2018,spring,2018-05-17,925,0.709900230237913,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-18,1183,0.907904834996163,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-19,1135,0.871066768994628,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-20,1048,0.804297774366846,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-21,1187,0.910974673829624,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-22,1246,0.956254796623177,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-23,639,0.490406753645434,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-24,1113,0.854182655410591,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-25,50,0.0383729854182655,B,1,Plumas,1303,1,0,0,0,0
2018,spring,2018-05-26,469,0.359938603223331,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-27,1062,0.81504221028396,B,1,Plumas,1303,1,1,1,1,1
2018,spring,2018-05-28,1103,0.846508058326938,B,1,Plumas,1303,1,1,1,1,1
